date,text,compound,positive,negative,neutral
2022-03-01,"In February, shit hit the fan in the usual way: An old tweet resurfaced. Brantly Millegan, director of operations at Ethereum Name Service (ENS), a web3 business, had written the following in May 201… [+3096 chars]",-0.3182,0.059,0.093,0.848
2022-02-17,"Technical analysis isnt a perfect tool, but it may point the way for Ethereum
Ethereum (ETH-USD
) continues to be a volatile crypto investment. Crypto is volatile by nature Im not setting it apart … [+3612 chars]",-0.2498,0.0,0.059,0.941
2022-02-25,"Coinbase reported that the share of trading volume for ethereum and other altcoins increased last year, while bitcoin's share dropped dramatically. 
Between 2020 and 2021, ethereum trading volume in… [+1187 chars]",0.6705,0.188,0.0,0.812
2022-02-26,"Illustration by James Bareham / The Verge

 


 More than $15 million has been donated so far More than $15 million in cryptocurrency has been donated to Ukrainian groups since Russia attacked the c… [+7442 chars]",-0.4588,0.0,0.083,0.917
2022-03-13,"If it sounds too good to be true, youre not wrong. Yield farming is riskier than staking. The tokens that are offering such high interest rates and fee yields are also the ones most likely to take a … [+2371 chars]",0.834,0.236,0.05,0.713
2022-03-03,"It seems that in 2022, you cant escape from the metaverse. From Facebook to Microsoft, seemingly every centralized tech firm is clambering on the bandwagon of this emerging virtual reality. For puris… [+5412 chars]",-0.1326,0.0,0.044,0.956
2022-02-17,"Last night, Twitter announced itll allow users to tip accounts via Ethereum.
This is the social networks second crypto announcement in two months, after it enabled NFT-based profile pictures in Janu… [+5114 chars]",0.2263,0.056,0.0,0.944
2022-02-18,"At over two hours long, the wildly popular new YouTube documentary  ""Line Goes Up The Problem With NFTs"" is an exhaustive takedown of the hot new investment vehicle that everyone from Waka Flacka Fla… [+2929 chars]",-0.1027,0.07,0.105,0.825
2022-03-02,"The cryptocurrency boom over the past few years has helped propel a newer market to record heights: digital collectibles known as NFTs. 
In fact, total NFT sales volume hit $23 billion over the past… [+2680 chars]",0.0,0.0,0.0,1.0
2022-02-17,"A version of this article was published in TIME’s newsletter Into the Metaverse. Subscribe for a weekly guide to the future of the Internet. You can find past issues of the newsletter here.
The Ethe… [+7320 chars]",0.0,0.0,0.0,1.0
2022-02-24,"A version of this article was published in TIME’s newsletter Into the Metaverse. Subscribe for a weekly guide to the future of the Internet. You can find past issues of the newsletter here.
Last wee… [+7988 chars]",0.0,0.0,0.0,1.0
